                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.4447,                0.49689,                0.59656,                0.96925,                0.98925,                      1,                  0.995,                0.90431,                0.98925,                      1,                  0.995,                0.83899,                0.39289,                0.92474,                0.67768,                 1.0226,              0.0010894,              0.0010894,              0.0010894
                     37,                0.45772,                0.47261,                0.60287,                0.95911,                0.98949,                      1,                  0.995,                0.95208,                0.98949,                      1,                  0.995,                0.80982,                0.35897,                  1.364,                0.62701,                  1.041,              0.0010729,              0.0010729,              0.0010729
                     38,                0.48701,                0.48157,                0.62264,                  1.008,                0.99022,                      1,                  0.995,                0.92908,                0.99022,                      1,                  0.995,                0.85637,                0.39327,                 1.5593,                0.59488,                 1.0827,              0.0010564,              0.0010564,              0.0010564
                     39,                0.41746,                0.44834,                0.58298,                0.97005,                0.99153,                      1,                  0.995,                0.93708,                0.99153,                      1,                  0.995,                0.92016,                0.42962,                0.62195,                 0.5687,                 1.1257,              0.0010399,              0.0010399,              0.0010399
                     40,                0.41807,                0.49391,                0.56281,                0.95106,                0.99116,                      1,                  0.995,                 0.9564,                0.99116,                      1,                  0.995,                0.92936,                0.39421,                0.51881,                0.55559,                 1.1161,              0.0010234,              0.0010234,              0.0010234
                     41,                0.38375,                0.37115,                0.56586,                0.95679,                0.99121,                      1,                  0.995,                0.95547,                0.99121,                      1,                  0.995,                0.89132,                0.31874,                0.55252,                0.53485,                 1.0214,              0.0010069,              0.0010069,              0.0010069
                     42,                0.46909,                0.49861,                0.59783,                0.97874,                0.99157,                      1,                  0.995,                0.97904,                0.99157,                      1,                  0.995,                0.86051,                0.36253,                0.62998,                0.64223,                0.99771,             0.00099036,             0.00099036,             0.00099036
                     43,                0.44304,                0.46737,                0.54172,                0.97112,                  0.992,                      1,                  0.995,                0.92307,                  0.992,                      1,                  0.995,                0.88457,                0.37103,                0.75431,                0.79574,                  1.012,             0.00097386,             0.00097386,             0.00097386
                     44,                0.40932,                0.44042,                0.54663,                0.93882,                0.99272,                      1,                  0.995,                0.85588,                0.99272,                      1,                  0.995,                 0.7792,                 0.5395,                 1.2962,                 0.7045,                 1.1879,             0.00095736,             0.00095736,             0.00095736
                     45,                 0.4055,                0.41943,                0.52661,                0.96841,                0.99102,                      1,                  0.995,                 0.8938,                0.99102,                      1,                  0.995,                0.75958,                0.50332,                 1.2256,                 0.5999,                 1.1405,             0.00094085,             0.00094085,             0.00094085
                     46,                0.40572,                0.46408,                0.52702,                0.92468,                0.99137,                      1,                  0.995,                0.86123,                0.99137,                      1,                  0.995,                0.78129,                 0.4645,                 1.0315,                0.58354,                 1.1298,             0.00092435,             0.00092435,             0.00092435
                     47,                0.36441,                0.39564,                0.46553,                0.96524,                0.99086,                      1,                  0.995,                0.89784,                0.99086,                      1,                  0.995,                0.80958,                   0.48,                0.87172,                0.56982,                  1.142,             0.00090785,             0.00090785,             0.00090785
                     48,                0.40162,                0.40956,                0.52389,                0.96604,                 0.9873,                      1,                  0.995,                0.85369,                 0.9873,                      1,                  0.995,                 0.8852,                0.40133,                0.60738,                 0.5753,                 1.0451,             0.00089134,             0.00089134,             0.00089134
                     49,                0.42385,                0.41555,                 0.5342,                0.95465,                 0.9876,                      1,                  0.995,                0.87797,                 0.9876,                      1,                  0.995,                0.90949,                0.35064,                0.49933,                0.51689,                  1.016,             0.00087484,             0.00087484,             0.00087484
                     50,                0.36062,                0.43156,                0.48698,                 0.9247,                0.98684,                      1,                  0.995,                0.92229,                0.98684,                      1,                  0.995,                0.90949,                0.33901,                0.47867,                0.46448,                 1.0085,             0.00085834,             0.00085834,             0.00085834
                     51,                0.38538,                0.39391,                0.49019,                0.94364,                0.98907,                      1,                  0.995,                0.94328,                0.98907,                      1,                  0.995,                0.92033,                0.33227,                0.52626,                0.44952,                 1.0306,             0.00084184,             0.00084184,             0.00084184
                     52,                0.41646,                0.38315,                0.49113,                0.96122,                0.99164,                      1,                  0.995,                0.94328,                0.99164,                      1,                  0.995,                0.84457,                0.36062,                 1.0165,                0.47394,                 1.0583,             0.00082533,             0.00082533,             0.00082533
                     53,                0.36466,                0.43831,                0.48424,                0.92843,                0.99174,                      1,                  0.995,                0.93761,                0.99174,                      1,                  0.995,                0.83775,                0.34402,                 1.0014,                0.42655,                 1.0331,             0.00080883,             0.00080883,             0.00080883
                     54,                0.38408,                0.38075,                0.47124,                0.95624,                 0.9921,                      1,                  0.995,                0.95742,                 0.9921,                      1,                  0.995,                 0.8343,                 0.3315,                0.92462,                0.39744,                 1.0206,             0.00079233,             0.00079233,             0.00079233
                     55,                0.38726,                0.41227,                0.45993,                0.89901,                0.99211,                      1,                  0.995,                0.93761,                0.99211,                      1,                  0.995,                 0.8791,                0.29026,                0.86663,                0.39506,                0.99198,             0.00077582,             0.00077582,             0.00077582
                     56,                0.36563,                0.44352,                0.45118,                0.92664,                0.99183,                      1,                  0.995,                0.97904,                0.99183,                      1,                  0.995,                0.92033,                0.29037,                0.67616,                0.38456,                0.98244,             0.00075932,             0.00075932,             0.00075932
